OPTIMAL_RESULT: 0.888
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
ACO: Broadcasting Forward Ant to find 10.1.0.60
CONGESTION_DATA: Rate=0.3
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.512 | new=0.4096
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.512 | new=0.4096
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.512 | new=0.4096
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO: Broadcasting Forward Ant to find 10.1.0.60
ACO: Broadcasting Forward Ant to find 10.1.0.59
ACO: Broadcasting Forward Ant to find 10.1.0.58
ACO: Destination 10.1.0.59 reached! Bouncing Backward Ant back.
PATH_TRACE | PktUID: 279 | SRC: 10.1.0.59 -> HOP: 10.1.0.8 | DST: 10.1.0.8
PATH_TRACE | PktUID: 292 | SRC: 10.1.0.8 -> HOP: 10.1.0.3 | DST: 10.1.0.3
PATH_TRACE | PktUID: 294 | SRC: 10.1.0.10 -> HOP: 10.1.0.3 | DST: 10.1.0.3
PATH_TRACE | PktUID: 299 | SRC: 10.1.0.3 -> HOP: 10.1.0.52 | DST: 10.1.0.52
PATH_TRACE | PktUID: 304 | SRC: 10.1.0.3 -> HOP: 10.1.0.52 | DST: 10.1.0.52
PATH_TRACE | PktUID: 309 | SRC: 10.1.0.52 -> HOP: 10.1.0.41 | DST: 10.1.0.41
PATH_TRACE | PktUID: 311 | SRC: 10.1.0.52 -> HOP: 10.1.0.41 | DST: 10.1.0.41
PATH_TRACE | PktUID: 316 | SRC: 10.1.0.41 -> HOP: 10.1.0.2 | DST: 10.1.0.2
PATH_TRACE | PktUID: 318 | SRC: 10.1.0.41 -> HOP: 10.1.0.2 | DST: 10.1.0.2
ACO NEW PHEROMONE: 17.5642 via intermediate node 10.1.0.41
ACO NEW PHEROMONE: 17.3549 via intermediate node 10.1.0.41
PATH_TRACE | PktUID: 326 | SRC: 10.1.0.2 -> HOP: 10.1.0.41 | DST: 10.1.0.59
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.41 -> HOP: 10.1.0.52 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.52 -> HOP: 10.1.0.3 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.3 -> HOP: 10.1.0.10 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.10 -> HOP: 10.1.0.59 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 326 | *** DESTINATION REACHED: 10.1.0.59 ***
PATH_TRACE | PktUID: 326 | SRC: 10.1.0.59 -> HOP: 10.1.0.10 | DST: 10.1.0.2
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.10 -> HOP: 10.1.0.3 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.3 -> HOP: 10.1.0.52 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.52 -> HOP: 10.1.0.41 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 326 | FWD Node: 10.1.0.41 -> HOP: 10.1.0.2 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 326 | *** DESTINATION REACHED: 10.1.0.2 ***
PATH_TRACE | PktUID: 354 | SRC: 10.1.0.2 -> HOP: 10.1.0.41 | DST: 10.1.0.59
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.41 -> HOP: 10.1.0.52 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.52 -> HOP: 10.1.0.3 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.3 -> HOP: 10.1.0.10 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.10 -> HOP: 10.1.0.59 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 354 | *** DESTINATION REACHED: 10.1.0.59 ***
PATH_TRACE | PktUID: 354 | SRC: 10.1.0.59 -> HOP: 10.1.0.10 | DST: 10.1.0.2
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.10 -> HOP: 10.1.0.3 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.3 -> HOP: 10.1.0.52 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.52 -> HOP: 10.1.0.41 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 354 | FWD Node: 10.1.0.41 -> HOP: 10.1.0.2 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 354 | *** DESTINATION REACHED: 10.1.0.2 ***
METRIC_CONGESTION: 0.3125
